0.93;14.1;31.27;22.64;29.27;1.77;17.25;22.77;16.67;9.95;20.43;12.9;34.85;21.19;12.99;7.16;18.33;5.45;30.66;23.03;14.39;7.99;17.01;6.89;17237
0.7;12.47;32.11;24.15;28.57;1.98;10.12;17.69;17.86;12.15;21.69;20.46;24;30.27;18.62;7.78;13.13;6.18;29.35;21.37;13.83;7.56;18.16;9.7;16507
1.02;14.76;29.68;20.76;30.42;3.32;9.72;28.48;19.88;9.57;19.27;13.04;29.31;27.14;15.88;7.75;14.41;5.48;22.95;22.59;14.62;8.53;22.93;8.36;15152
0.93;15.28;30.28;21.2;29.85;2.43;17.7;19.63;17.36;10.11;19.4;15.76;15.38;22.25;18.14;10.48;20.51;13.22;34.97;22.67;11.35;5.96;15.8;9.22;15985
1.13;16.85;31.06;19.78;27.99;3.16;22.68;18.47;15.54;9.93;20.1;13.24;5.67;18.09;24.08;16.38;27.44;8.31;43.55;20.95;11.43;5.45;12.41;6.18;15521
0.66;15.49;36.47;21.89;22.87;2.59;10.91;19.01;21.34;12.87;21.35;14.49;23;20.44;15.41;9.34;20.7;11.07;49.46;18.51;9.85;4.77;11.23;6.15;15468
0.99;16.68;32.98;20.21;25.18;3.93;13.11;30.69;19.54;8.85;15.61;12.16;28.48;23.27;16.38;8.11;15.38;8.35;30.96;22.29;14.11;7.05;15.34;10.22;15774
1.62;20.72;33.56;18.19;21.9;3.98;9.37;16.66;20.71;12.51;23.66;17.06;42.01;19.53;11.54;6.21;12.64;8.04;50.6;16.94;10.26;5.3;10.45;6.42;16578
1.61;23.91;34.39;17.49;19.26;3.31;26.5;20.46;14.6;7.37;16.44;14.6;31.57;24.94;16.85;7.32;12.49;6.8;45.33;22.3;11.11;5.21;9.89;6.12;16358
1.65;24.3;33.63;16.29;20.06;4.03;24.23;25.08;17.93;7.35;12.91;12.48;22.98;27.37;17.3;8.43;15.31;8.58;42.93;24.68;11.27;4.93;10.58;5.58;17022
1.04;21.08;38.55;18.85;18.3;2.14;11.09;17.98;20.14;11.55;21.41;17.8;13.84;17.71;16.25;10.97;27.09;14.11;36.54;25.87;12.65;5.52;11.92;7.46;17315
2.04;23.44;33.85;17.81;19.72;3.1;9.79;18.51;19.3;11.79;24.14;16.44;9.1;16.22;17.71;11.9;29.81;15.24;28.57;22.66;15.48;7.66;15.73;9.86;15945
1.39;28.06;41.73;15.81;11.72;1.26;2.47;14.61;21.42;13.65;27.59;20.23;9.82;19.12;20.98;12.63;25.62;11.8;22.26;25.68;17.72;7.89;15.73;10.69;15331
0.93;21.22;38.89;18.96;17.5;2.51;15.12;24.88;20.96;10.52;17.11;11.42;18.03;22.13;15.64;9.22;22.3;12.67;26.97;24.6;16.09;8.6;16.23;7.5;15794
2.32;42.05;40.08;9.23;5.53;0.8;4.53;18.7;23.35;14.42;26.32;12.68;5.18;14.24;20.81;12.37;28.94;18.46;34.93;23.97;13.01;6.63;13.77;7.7;15514
1.19;32.46;46.56;13.14;6.07;0.59;6.6;15.1;18.66;12.88;27.51;19.25;27.88;20.22;13.57;7.83;17.27;13.23;35.34;20.97;12.39;6.55;14.58;10.16;16060
2.02;37.44;43.61;10.51;5.46;0.95;4.39;10.68;15.8;12.87;30.17;26.09;25.56;21.03;16.46;9.06;17.82;10.09;23.92;24.28;17.41;9.62;17.16;7.62;15500
1.31;32.04;44.68;13.81;7.15;0.99;4.98;14.06;14.61;10.13;25.52;30.69;16.6;19.41;15.61;8.6;20.4;19.38;23.1;23.59;17.23;9.81;17.42;8.83;15152
1.82;36.1;42.56;11.76;6.61;1.15;9.74;16.29;17.23;10.15;18.19;28.4;12.73;18.74;18.16;10.97;24.75;14.66;4.37;17.93;21.77;13.8;31.04;11.08;14617
0.35;14.1;43.57;24.63;15.8;1.54;14.41;22.46;19.2;10.8;19.64;13.49;15.88;17.65;15.52;9.45;23.07;18.43;4.54;15.7;18.02;12.99;32.12;16.63;14275
1;24.18;44.64;18;11.18;1.01;19.01;24.01;15.59;9.59;18.33;13.47;16.98;16.47;13.69;8.86;25.54;18.46;9.34;22.31;17.07;9.69;26.91;14.67;14671
0.92;25.41;48.26;16.71;7.74;0.96;11.88;22.42;19.87;10.83;20.75;14.25;13.44;17.06;14.67;9.79;26.9;18.14;12.44;19.93;17.22;11.21;24.69;14.53;14140
